Id,Label,timeset,modularity_class,pageranks,componentnumber,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
jamilliafif1,jamilliafif1,,0,0.000039,196,0,0,0,0,0,0
vitoriialari,vitoriialari,,1,0.000068,3,0,1,1,0,1,1
Amanda61983139,Amanda61983139,,7,0.000068,3,0,1,1,0,1,1
qzhaf,qzhaf,,0,0.000039,92,0,0,0,0,0,0
XciutatVella,XciutatVella,,0,0.000039,701,0,0,0,0,0,0
ecologistes,ecologistes,,0,0.000105,701,0,0,0,0,0,0
pedroelgranain0,pedroelgranain0,,0,0.000039,702,0,0,0,0,0,0
canalsur,canalsur,,0,0.000072,702,0,0,0,0,0,0
wanda_minoso,wanda_minoso,,6,0.000068,3,0,1,1,0,1,1
MillonRando,MillonRando,,0,0.000039,437,0,0,0,0,0,0
TheRealTrevor__,TheRealTrevor__,,7,0.000068,3,0,1,1,0,1,1
khojotheo,khojotheo,,0,0.000039,703,0,0,0,0,0,0
Rebeccapach1,Rebeccapach1,,0,0.000105,703,0,0,0,0,0,0
J9xphornchi,J9xphornchi,,0,0.000039,439,0,0,0,0,0,0
amjadkhan84bwd,amjadkhan84bwd,,4,0.000068,3,0,1,1,0,1,1
NalaManamela,NalaManamela,,7,0.000068,3,0,1,1,0,1,1
niece64,niece64,,3,0.000068,3,0,1,1,0,3,3
Dina_waziri,Dina_waziri,,7,0.000068,3,0,2,2,0,2,2
SpookhouseBooks,SpookhouseBooks,,0,0.000039,704,0,0,0,0,0,0
Barbs_B1,Barbs_B1,,7,0.000068,3,0,1,1,0,1,1
nandafrancoM,nandafrancoM,,1,0.000068,3,0,1,1,0,1,1
TheDevilsfavour,TheDevilsfavour,,0,0.000039,705,0,0,0,0,0,0
GiveawayTorrent,GiveawayTorrent,,0,0.000072,705,0,0,0,0,0,0
washiramos98,washiramos98,,1,0.000068,3,0,1,1,0,1,1
Veron2V,Veron2V,,0,0.000039,62,0,0,0,0,0,0
