Id,Label,timeset,componentnumber,modularity_class,pageranks,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
MayneZiam__,MayneZiam__,,0,2,0.000146,0,1,1,0,1,1
kccisminee,kccisminee,,0,0,0.000146,0,1,1,0,1,1
Leticiaafurlann,Leticiaafurlann,,0,2,0.000146,0,1,1,0,1,1
Rosacelestinoo,Rosacelestinoo,,0,2,0.000146,0,1,1,0,1,1
madu_martiins,madu_martiins,,0,2,0.000146,0,1,1,0,1,1
anisioamaral,anisioamaral,,13,0,0,0,0,0,0,0,0
paulomob,paulomob,,13,0,0,0,0,0,0,0,0
KakashiSamaa,KakashiSamaa,,0,2,0.000146,0,2,2,0,2,2
buonaduce_,buonaduce_,,0,2,0.000146,0,1,1,0,1,1
EssePeidinho,EssePeidinho,,0,2,0.000146,0,1,1,0,1,1
Rivaslino42,Rivaslino42,,0,2,0.000146,0,1,1,0,1,1
dudaice,dudaice,,0,2,0.000146,0,3,3,0,3,3
bhethyb,bhethyb,,12,0,0,0,0,0,0,0,0
becaferv,becaferv,,0,2,0.000146,0,1,1,0,1,1
veicalyx,veicalyx,,0,2,0.000146,0,1,1,0,1,1
Lucaste10430500,Lucaste10430500,,0,2,0.000146,0,2,2,0,2,2
GabyMantovanni,GabyMantovanni,,0,0,0.000146,0,2,2,0,2,2
melnykao,melnykao,,0,2,0.000146,0,1,1,0,1,1
AnaLaur75092898,AnaLaur75092898,,0,0,0.000146,0,3,3,0,3,3
jeovanesaantos,jeovanesaantos,,0,2,0.000146,0,1,1,0,1,1
cintiabaves,cintiabaves,,0,2,0.000146,0,1,1,0,1,1
achagaxy,achagaxy,,0,2,0.000146,0,2,2,0,2,2
QuerenMota,QuerenMota,,0,2,0.000146,0,1,1,0,1,1
_thahcristina_,_thahcristina_,,0,2,0.000146,0,1,1,0,1,1
kenooobi,kenooobi,,0,2,0.000146,0,1,1,0,1,1
beefeabe,beefeabe,,0,2,0.000146,0,1,1,0,1,1
Mazuque_,Mazuque_,,0,2,0.000146,0,1,1,0,1,1
meteoro_sama,meteoro_sama,,0,2,0.000146,0,1,1,0,1,1
lostinkcc,lostinkcc,,0,2,0.000146,0,2,2,0,2,2
ariellyalmeeida,ariellyalmeeida,,0,1,0.000146,0,1,1,0,1,1
nivhenrique,nivhenrique,,0,2,0.000146,0,1,1,0,1,1
Chorani5,Chorani5,,0,1,0.000146,0,1,1,0,1,1
1dIndiesposta,1dIndiesposta,,0,0,0.000146,0,1,1,0,1,1
iris2bts,iris2bts,,0,2,0.000146,0,1,1,0,1,1
sofia_milioli,sofia_milioli,,0,2,0.000146,0,1,1,0,1,1
IsaMaestracci,IsaMaestracci,,0,2,0.000146,0,2,2,0,2,2
felipeklafke,felipeklafke,,0,2,0.000146,0,1,1,0,1,1
RoadOfSeul,RoadOfSeul,,0,2,0.000146,0,1,1,0,1,1
guiiparmera,guiiparmera,,0,2,0.000146,0,1,1,0,1,1
badgalgoodbitch,badgalgoodbitch,,0,2,0.000146,0,1,1,0,1,1
luaa1864,luaa1864,,0,2,0.000146,0,2,2,0,2,2
melissavgurgel,melissavgurgel,,0,2,0.000146,0,1,1,0,1,1
Takashyma_,Takashyma_,,0,2,0.000146,0,2,2,0,2,2
themonxster,themonxster,,0,2,0.000146,0,10,10,0,10,10
Pitangagk,Pitangagk,,0,2,0.000146,0,1,1,0,1,1
thurcrf,thurcrf,,0,2,0.000146,0,1,1,0,1,1
DuduHenrique306,DuduHenrique306,,0,2,0.000146,0,1,1,0,1,1
arypqsim,arypqsim,,0,2,0.000146,0,1,1,0,1,1
Ana55651989,Ana55651989,,0,2,0.000146,0,2,2,0,2,2
caroolcabralc,caroolcabralc,,0,2,0.000146,0,1,1,0,1,1
lauraparanagua_,lauraparanagua_,,0,2,0.000146,0,1,1,0,1,1
Kaylane1202,Kaylane1202,,0,0,0.000146,0,1,1,0,1,1
JlioCes25576121,JlioCes25576121,,0,2,0.000146,0,1,1,0,1,1
Kli_Nev,Kli_Nev,,0,1,0.000146,0,1,1,0,1,1
Thianasmo,Thianasmo,,0,0,0.000146,0,2,2,0,2,2
isfAragon,isfAragon,,14,0,0,0,0,0,0,0,0
ecologistaszgz,ecologistaszgz,,14,0,0,0,0,0,0,0,0
adrianonvieira,adrianonvieira,,0,2,0.000146,0,1,1,0,1,1
POCNIEL,POCNIEL,,5,0,0,0,0,0,0,0,0
Lukitas_Mengaum,Lukitas_Mengaum,,0,2,0.000146,0,1,1,0,1,1
maryyyc03,maryyyc03,,0,4,0.000146,0,1,1,0,1,1
WenderBarrosOfc,WenderBarrosOfc,,0,4,0.000702,9,0,9,9,0,9
gabrieIrm,gabrieIrm,,0,2,0.000146,0,1,1,0,1,1
babideg,babideg,,0,2,0.000146,0,1,1,0,1,1
afrodiiitte,afrodiiitte,,0,0,0.000146,0,1,1,0,1,1
hotmilkacchan,hotmilkacchan,,0,2,0.000146,0,1,1,0,1,1
DebChhagas,DebChhagas,,0,1,0.000146,0,1,1,0,1,1
efigecah,efigecah,,0,2,0.000146,0,1,1,0,1,1
RafaelMano1,RafaelMano1,,0,2,0.000146,0,1,1,0,1,1
kookieyea,kookieyea,,9,0,0,0,0,0,0,0,0
byanamariae,byanamariae,,0,2,0.000146,0,1,1,0,1,1
XboxHue,XboxHue,,0,2,0.000146,0,1,1,0,1,1
memoryyfree,memoryyfree,,0,2,0.000146,0,1,1,0,1,1
tega_nomec,tega_nomec,,0,4,0.000146,0,1,1,0,1,1
Rosange62098308,Rosange62098308,,15,0,0,0,0,0,0,0,0
TheoBecker8,TheoBecker8,,15,0,0,0,0,0,0,0,0
HppyNam,HppyNam,,0,0,0.000146,0,1,1,0,1,1
Kawaiimorena,Kawaiimorena,,0,0,0.000146,0,1,1,0,1,1
bruna_abreu2,bruna_abreu2,,0,2,0.000146,0,1,1,0,1,1
thissunsetlover,thissunsetlover,,0,2,0.000146,0,1,1,0,1,1
PoxaParrilla,PoxaParrilla,,0,2,0.000146,0,12,12,0,12,12
AstnDrw8,AstnDrw8,,0,2,0.000925,13,0,13,13,0,13
Raimagcon,Raimagcon,,0,2,0.000146,0,2,2,0,2,2
Jwzzbitch,Jwzzbitch,,0,0,0.000146,0,1,1,0,1,1
jujubineo,jujubineo,,0,2,0.000146,0,1,1,0,1,1
lhukas_,lhukas_,,0,1,0.000146,0,1,1,0,1,1
larrybroche,larrybroche,,0,2,0.000146,0,1,1,0,1,1
girlwithlove165,girlwithlove165,,0,2,0.000146,0,1,1,0,1,1
Lehoo94,Lehoo94,,0,2,0.000146,0,1,1,0,1,1
LucasPacheko,LucasPacheko,,0,2,0.000146,0,1,1,0,1,1
utopianwomanbr,utopianwomanbr,,0,0,0.000146,0,1,1,0,1,1
kccstelarium,kccstelarium,,16,0,0,0,0,0,0,0,0
krystalight,krystalight,,16,0,0,0,0,0,0,0,0
Suzeteassis,Suzeteassis,,0,2,0.000146,0,1,1,0,1,1
